date,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
1/4/15,384.75,2.479166667,0.645833333,94.27083333,7.5,3,0,1,3
1/5/15,848.83,8.041666667,6.708333333,80.3125,8.854166667,3,0,0,3
1/6/15,858.88,7.854166667,5.333333333,78.89583333,16,1,0,0,3
1/7/15,915.83,7.456521739,4.5,78.10869565,19.76086957,2,0,0,3
1/8/15,650.04,9.75,7.791666667,79.3125,20.47916667,[2 7],0,0,3
1/9/15,921.00,12.72916667,12.33333333,74.85416667,32.91666667,3,0,0,3
1/10/15,612.88,10.47916667,8.708333333,66.125,34.3125,3,0,1,3
1/11/15,607.29,6.645833333,2.458333333,67.58333333,26.5625,1,0,1,3
1/12/15,716.63,11.125,9.75,76.58333333,28.1875,7,0,0,3
1/13/15,1029.04,8.604166667,6.083333333,75.8125,21.20833333,7,0,0,3
1/14/15,981.88,6.5,2.479166667,67.125,25.75,2,0,0,3
1/15/15,957.00,8.833333333,5.625,66.45833333,31.16666667,2,0,0,3
1/16/15,944.29,5.791666667,2.541666667,66.22916667,17.45833333,1,0,0,3
1/17/15,636.17,3.791666667,0.5625,75.10416667,13.58333333,1,0,1,3
1/18/15,549.96,3.395833333,1.916666667,84.33333333,6.979166667,7,0,1,3
1/19/15,959.75,2.416666667,0.791666667,80,6.1875,3,0,0,3
1/20/15,968.63,2.0625,-0.166666667,81.95833333,9.166666667,1,0,0,3
1/21/15,949.25,3.041666667,-0.375,84.27083333,14.72916667,4,0,0,3
1/22/15,969.92,2.583333333,1.041666667,74.47916667,6.729166667,3,0,0,3
1/23/15,912.17,2.708333333,-0.020833333,79.41666667,12.41666667,1,0,0,3
1/24/15,730.79,5.708333333,2.333333333,72.72916667,18.0625,1,0,1,3
1/25/15,628.92,5.520833333,2.3125,77.375,16.16666667,3,0,1,3
1/26/15,946.25,8.5625,5.729166667,75.20833333,18.95833333,3,0,0,3
1/27/15,1041.67,6.958333333,4.145833333,72.375,15.29166667,1,0,0,3
1/28/15,897.33,6.979166667,2.916666667,71.02083333,29.14583333,1,0,0,3
1/29/15,886.46,3.770833333,-1.25,73.52083333,26.5625,2,0,0,3
1/30/15,882.13,3.979166667,0.1875,77.08333333,17.47916667,3,0,0,3
1/31/15,427.08,3.416666667,-0.916666667,77.91666667,20.125,7,0,1,3
2/1/15,471.04,3.791666667,-0.895833333,67,24.77083333,3,0,1,3
2/2/15,901.67,1.25,-2.395833333,64.85416667,12.625,1,0,0,3
2/3/15,827.88,2.166666667,-1.041666667,85.5,11.83333333,3,0,0,3
2/4/15,910.42,2.875,-0.520833333,80.6875,14.125,3,0,0,3
2/5/15,883.33,2.895833333,-0.916666667,78.10416667,16.02083333,2,0,0,3
2/6/15,873.13,2.6875,-1.666666667,69.85416667,19.27083333,2,0,0,3
2/7/15,547.88,3.75,1.020833333,83.02083333,11.3125,3,0,1,3
2/8/15,657.42,5.4375,3.145833333,76.20833333,10.25,2,0,1,3
2/9/15,994.08,5.708333333,3.854166667,81.4375,9.208333333,2,0,0,3
2/10/15,1024.30,5.5,4.369565217,79.60869565,6.47826087,4,0,0,3
2/11/15,986.67,5.041666667,3.166666667,77.4375,7.645833333,4,0,0,3
2/12/15,967.79,3.979166667,2.375,73.125,7.208333333,4,0,0,3
2/13/15,737.46,6.979166667,4.020833333,84.54166667,17.8125,7,0,0,3
2/14/15,600.96,7.3125,5.104166667,88.6875,12.375,3,0,1,3
2/15/15,706.33,6.6875,5.333333333,86.16666667,7.333333333,3,0,1,3
2/16/15,682.54,6.041666667,4.0625,89.70833333,9.75,7,0,0,3
2/17/15,1044.33,5.854166667,3.479166667,68.70833333,12.1875,[1 2],0,0,3
2/18/15,1047.17,6.395833333,3.729166667,71.27083333,15.16666667,1,0,0,3
2/19/15,704.08,7.270833333,3.895833333,81.5,21.125,7,0,0,3
